영화명,영화코드,개봉일,F-rated,장르,등급,영화구분,제작사,배급사,상영횟수,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,감독1필모,감독1,감독1코드,감독1성별,감독2,감독2코드,감독2성별,감독3,감독3코드,감독3성별,감독4,감독4코드,감독4성별,작가,대표작가,대표작가(필명),작가코드,작가성별,작가_대표역할,작가필모,배우,주연배우,배우코드,배우성별,배우_대표역할,배우필모
머니백,20165045,2018-04-12,0,"액션,드라마",15세이상관람가,일반영화,(주)젠픽쳐스,(주)리틀빅픽쳐스,6878,472,411511600.0,52618,105898500,12994,머니백,허준형,20238387.0,남자,-,-,-,-,-,-,-,-,-,허준형,허준형,허준형,20238387,남자,감독,머니백,"김무열,박희순,이경영,전광렬,임원희,오정세,김민교,이익준,이동진,이소희,이신영,이윤희,이정수,이정현,김준아,김태환,문도선,박성민,장혁진,정준혁,정혜경,최원영,한대훈,현봉식",김무열,10004099,남자,배우,악인전|도터(가제)|정직한 후보|인랑|기억의 밤|대립군|머니백|연평해전|개들의 전쟁|은교|최종병기 활 감독확장판|최종병기 활|작전|메모리즈|멸공의 횃불|데이 드리밍
호랑이보다 무서운 겨울손님,20174010,2018-04-12,1,"멜로/로맨스,드라마",15세이상관람가,독립/예술영화,영화사 벽돌,"그린나래미디어(주),무브먼트",1611,134,70058900.0,8680,44562500,5323,호랑이보다 무서운 겨울손님|꿈보다 해몽|로맨스 조|하하하|잘 알지도 못하면서|해변의 여인|극장전|A+삶|소주와 아이스크림|말로는 힘들어|주민증 갱신기간|시선 사이|인디스데이 6월 단편|6월 수요단편극장 <한여름의 판타지아> 개봉 기념 특별전|7월 단편 상상극장-김새벽의 판타지아|7월 단편 상상극장-이들이 우리의 배우다,이광국,10054828.0,남자,-,-,-,-,-,-,-,-,-,이광국,이광국,이광국,10054828,남자,감독,호랑이보다 무서운 겨울손님|꿈보다 해몽|로맨스 조|하하하|잘 알지도 못하면서|해변의 여인|극장전|A+삶|소주와 아이스크림|말로는 힘들어|주민증 갱신기간|시선 사이|인디스데이 6월 단편|6월 수요단편극장 <한여름의 판타지아> 개봉 기념 특별전|7월 단편 상상극장-김새벽의 판타지아|7월 단편 상상극장-이들이 우리의 배우다,"고현정,이진욱,서현우,류현경,고예본,김다영,김미리,김선주,김영선,김예은,김태헌,김태헌,김형식,남솔비,노선아,류제원,류제원,박소은,박시연,박시현,박시현,서수지,안보영,오도이,이건창,이상희,이석창,이재한,정은경,조민주,홍정호,황윤주,정승길",고현정,10001825,여자,배우,호랑이보다 무서운 겨울손님|미쓰GO|최후의 툰드라-극장판|여배우들|잘 알지도 못하면서|해변의 여인
스파키,20182221,2018-04-12,1,"애니메이션,어드벤처,코미디",전체관람가,일반영화,(주)레드로버,예지림엔터테인먼트,1949,312,257040200.0,35436,41353300,5315,스파키|완전범죄: 키드냅,아론 우들리,10040004.0,남자,-,-,-,-,-,-,-,-,-,아론 우들리,아론 우들리,아론 우들리,10040004,남자,감독,스파키,"제시카 비엘,수잔 서랜든",제시카 비엘,10063343,여자,배우,충격과 공포|스파키|카인드 오브 머더|엑시덴탈 러브|여동생의 비밀|트루스 어바웃 엠마누엘|당신에게도 사랑이 다시 찾아올까요?|토탈 리콜|톨 맨|뉴욕의 연인들|A-특공대|네일드|플래닛 51|발렌타인 데이|파우더 블루|이지 버츄|일루셔니스트|홈 오브 더 브레이브|스텔스|런던|텍사스 전기톱 연쇄살인사건|썸머 캐치
"그날, 바다",20182352,2018-04-12,0,다큐멘터리,15세이상관람가,독립/예술영화,프로젝트 부,(주)엣나인필름,30376,611,4445554528.0,540558,1157399300,136574,"그날, 바다",김지영,20302876.0,남자,-,-,-,-,-,-,-,-,-,"최진아, 김지영, 인정옥",최진아,최진아,20303650,남자,프로듀서,"그날, 바다","정우성,이주용,김지영,장동원,박종대,김도연,김도영,김어준,김지영",정우성,10062025,남자,배우,"지푸라기라도 잡고 싶은 짐승들|정상회담|증인|인랑|그날, 바다|강철비|더 킹|아수라|나를 잊지 말아요|마담 뺑덕|신의 한 수|세가지 색 - 삼생|감시자들|아테나: 전쟁의 여신|검우강호|호우시절|좋은 놈, 나쁜 놈, 이상한 놈 |좋은 놈, 나쁜 놈, 이상한 놈(칸버전)|중천|데이지|새드무비|내 머리 속의 지우개|똥개|무사|러브(LOVE)|유령|태양은 없다|모텔 선인장|비트|상해탄 |본 투 킬|구미호|경계에서|선물|방아쇠"
수성못,20174265,2018-04-19,3,"드라마,코미디",15세이상관람가,독립/예술영화,한국영화아카데미,㈜인디스토리,538,36,26185400.0,3539,11992800,1384,"내가 사는 세상|수성못|극장 쪽으로|어느 날 갑자기|일요일의 앵두|고백|너와 극장에서|5월 단편 상상극장-어느 날, 학교에서|제14회 미쟝센 단편영화제 전년도 수상작1|단편 KAFA1.|제13회 미쟝센 단편영화제 절대악몽2|KAFA 단편 4|섹션 1 - 2차실습작|제13회 미쟝센 단편영화제 심야의 절대구타 360",유지영,20187943.0,여자,-,-,-,-,-,-,-,-,-,유지영,유지영,유지영,20187943,여자,감독,"내가 사는 세상|수성못|극장 쪽으로|어느 날 갑자기|일요일의 앵두|고백|너와 극장에서|5월 단편 상상극장-어느 날, 학교에서|제14회 미쟝센 단편영화제 전년도 수상작1|단편 KAFA1.|제13회 미쟝센 단편영화제 절대악몽2|KAFA 단편 4|섹션 1 - 2차실습작|제13회 미쟝센 단편영화제 심야의 절대구타 360","이세영,박지수,김현준,남태부,강신일,윤진,김민규,감정원,강민영,김소라,김소희,김수경,김준형,김진호,김형주,박미령,박미령,박수연,박정현,박혜준,배경헌,배경헌,손희수,유지영,윤진,이수빈,이승우,이승찬,이유리,이재우,이정민,장병기,정민주,정석원,정수민,정수민,정지윤,최은영,최태규,황지은,오동민,박현영",이세영,10056083,여자,배우,링거링|수성못|피끓는 청춘|청포도 사탕: 17년 전의 약속|열세살 수아|내 생애 가장 아름다운 일주일|여선생 VS 여제자|아홉살 인생|고독이 몸부림칠 때|무서운 이야기 2
파파 오랑후탄,20175046,2018-04-19,2,다큐멘터리,12세이상관람가,일반영화,시네마미션,파이오니아21,96,3,14655000.0,1951,3949000,456,파파 오랑후탄,이성관,20302489.0,남자,-,-,-,-,-,-,-,-,-,"최영순, 김소현, 이성관",최영순,최영순,20323393,여자,시나리오(각본),파파 오랑후탄,"김수연,차세환,최기문",김수연,20319872,여자,배우,파파 오랑후탄
나를 기억해,20177266,2018-04-19,1,"미스터리,범죄,스릴러",청소년관람불가,일반영화,(주)오아시스이엔티,씨네그루(주)키다리이엔티,14322,545,1227953892.0,140849,289799692,32322,나를 기억해|숨바꼭질,이한욱,20178069.0,남자,-,-,-,-,-,-,-,-,-,이한욱,이한욱,이한욱,20178069,남자,감독,나를 기억해|숨바꼭질,"이유영,김희원,오하늬,이학주,김다미,고규필,손강국,윤희정,이규현,이재혁,김준희,김태윤,김희원,장혁진,박건아",이유영,20189016,여자,배우,집 이야기|입술은 안돼요(가제)|디바|악질경찰|원더풀 고스트|나를 기억해|아무것 또는 모든 것|풀잎들|허스토리|당신자신과 당신의 것|특근|그놈이다|간신|다른 세상에서|봄|미스터 쿠퍼|고란살|그녀의 냉면 계산법
당신의 부탁,20177962,2018-04-19,1,드라마,15세이상관람가,독립/예술영화,(주)명필름,CGV아트하우스,5035,371,205547428.0,25652,81657728,9615,니나 내나|당신의 부탁|환절기,이동은,20233786.0,남자,-,-,-,-,-,-,-,-,-,이동은,이동은,이동은,20233786,남자,감독,니나 내나|당신의 부탁|환절기,"임수정,윤찬영,이상희,서신애,한주완,서정연,우지현,김선영,강태영,공희철,권세영,김건우,김동혁,김민재,김소진,김슬기,김자영,김태우,문상호,이아린,이유진,이혜린,임용순,장혜진,이화룡",임수정,10058646,여자,배우,"당신의 부탁|더 테이블|시간이탈자|은밀한 유혹|내 아내의 모든 것|사랑한다, 사랑하지 않는다|김종욱 찾기|전우치|행복|싸이보그지만 괜찮아|각설탕|새드무비|...ing|장화, 홍련|피아노 치는 대통령"
무문관,20181603,2018-04-19,0,다큐멘터리,전체관람가,독립/예술영화,TBC,영화사 마농(주),1145,43,164068700.0,21506,31213800,3805,무문관,박대원,20302389.0,남자,-,-,-,-,-,-,-,-,-,"김성동, 최유리",김성동,김성동,10004576,남자,시나리오(각본),무문관|긴급조치 19호,"김명수,김정숙",김명수,20303191,남자,배우,무문관
살인소설,20167007,2018-04-25,0,스릴러,15세이상관람가,독립/예술영화,"(주)페퍼민트앤컴퍼니,리드미컬그린(주)","(주)스톰픽쳐스코리아,(주)페퍼민트앤컴퍼니",5708,434,392591200.0,49682,110034500,13655,살인소설|타짜|작업의 정석|새드무비|Oh! 뷰리플 라이프,김진묵,10005905.0,남자,-,-,-,-,-,-,-,-,-,김진묵,김진묵,김진묵,10005905,남자,감독,살인소설|타짜|작업의 정석|새드무비|Oh! 뷰리플 라이프,"지현우,오만석,이나라,김학철,조은지,김정수,이지훈,박상연,임용순,정재훈,강현욱,이유준",지현우,10070252,남자,배우,"살인소설|Mr.아이돌|주유소 습격사건 2|올드미스다이어리|사랑하니까, 괜찮아"
클레어의 카메라,20176101,2018-04-25,1,드라마,15세이상관람가,독립/예술영화,(주)영화제작전원사,"(주)영화제작전원사 ,(주)콘텐츠판다,무브먼트",1444,68,75289300.0,9430,50194600,6107,"강변호텔|풀잎들|그 후|클레어의 카메라|밤의 해변에서 혼자|당신자신과 당신의 것|지금은맞고그때는틀리다|자유의 언덕|우리 선희|누구의 딸도 아닌 해원|토니 레인즈의 한국영화 25년|다른나라에서|북촌방향|옥희의 영화|하하하|잘 알지도 못하면서|밤과 낮|나의 사랑, 나의 영화|해변의 여인|극장전|한국 영화의 르네상스|여자는 남자의 미래다|생활의 발견|오! 수정|강원도의 힘|돼지가 우물에 빠진 날|리스트|첩첩산중|10월 단편 상상극장-홍상수 단편선|베니스 70 : 미래 재장전|어떤 방문 : 디지털 삼인삼색2009",홍상수,10089497.0,남자,-,-,-,-,-,-,-,-,-,홍상수,홍상수,홍상수,10089497,남자,감독,"강변호텔|풀잎들|그 후|클레어의 카메라|밤의 해변에서 혼자|당신자신과 당신의 것|지금은맞고그때는틀리다|자유의 언덕|우리 선희|누구의 딸도 아닌 해원|토니 레인즈의 한국영화 25년|다른나라에서|북촌방향|옥희의 영화|하하하|잘 알지도 못하면서|밤과 낮|나의 사랑, 나의 영화|해변의 여인|극장전|한국 영화의 르네상스|여자는 남자의 미래다|생활의 발견|오! 수정|강원도의 힘|돼지가 우물에 빠진 날|리스트|첩첩산중|10월 단편 상상극장-홍상수 단편선|베니스 70 : 미래 재장전|어떤 방문 : 디지털 삼인삼색2009","이자벨 위페르,김민희,장미희,정진영,강태우",이자벨 위페르,10057136,여자,배우,스노우 화이트|마담 싸이코|해피엔드|미세스 하이드|클레어의 카메라|엘르|다가오는 것들|라우더 댄 밤즈|마카담 스토리|엘리노어 릭비: 그 남자 그 여자|파리 폴리|베일을 쓴 소녀|퍼펙트|아무르|다른나라에서|코파카바나|백인의 것|홈|코미디 오브 파워|가브리엘|내 언니를 소개합니다|내 어머니|아이 러브 허커비|늑대의 시간|8명의 여인들|투|약속된 인생|피아니스트|또다른 거짓|운명|두 어머니의 아들|왕의 딸|초콜릿 고마워|모던 라이프|문제없음|육체의 학교|사기|의식|이별|아마추어|마담 보봐리|베드룸 윈도우|춘희|대청소|룰루|할 수 있는 자가 구하라: 인생
챔피언,20189783,2018-05-01,0,드라마,12세이상관람가,일반영화,(주)코코너,워너브러더스 코리아(주),47320,874,9441064230.0,1125319,1846376630,212475,"챔피언|퀵|작은 연못|하모니|토끼와 리저드|핸드폰|사랑과 전쟁:열두 번째 남자|6년째 연애중|리턴매치|이 별에 필요한|그녀의 단속반|바코드맘|헤이, 톰 |쪼다 멜로|모놀로그 #1|서툰 외면|2015 우수 단편영화 상영 03|10월 단편 상상극장-제8회 대단한 단편영화제 수상작 모음|연인들",김용완,20164846.0,남자,-,-,-,-,-,-,-,-,-,김용완,김용완,김용완,20164846,남자,연출팀,"챔피언|퀵|작은 연못|하모니|토끼와 리저드|핸드폰|사랑과 전쟁:열두 번째 남자|6년째 연애중|리턴매치|이 별에 필요한|그녀의 단속반|바코드맘|헤이, 톰 |쪼다 멜로|모놀로그 #1|서툰 외면|2015 우수 단편영화 상영 03|10월 단편 상상극장-제8회 대단한 단편영화제 수상작 모음|연인들","마동석,권율,한예리,박성일,유지연,이규호,이동진,이수정,김정화,이혜민,김지연,김지환,김태현,오승환,유지연,박세준,전민지,전혜원,정승환,박지연,김건,김동현,김동현,김미미,홍지원,김재민,김수진,양현민,박지연",마동석,10021341,남자,배우,나쁜 녀석들: 더 무비|노리개: 그녀의 눈물|악인전|백두산|시동|성난황소|동네사람들|원더풀 고스트|신과함께-인과 연|챔피언|신과함께-죄와 벌|부라더|범죄도시|특별시민|두 남자|부산행|굿바이 싱글|섬. 사라진 사람들|함정|악의 연대기|베테랑|일대일|군도: 민란의 시대|살인자|결혼전야|더 파이브|배우는 배우다|감기|뜨거운 안녕|공정사회|노리개|반창꼬|이웃사람|노리개 무삭제 확장판|범죄와의 전쟁: 나쁜놈들 전성시대|우리 만난 적 있나요|부당거래|래빗
레슬러,20177005,2018-05-09,0,"드라마,코미디",15세이상관람가,일반영화,(주)안나푸르나필름,롯데컬처웍스(주)롯데엔터테인먼트,43079,957,6440492657.0,765963,1392248057,159549,레슬러,김대웅,20287367.0,남자,-,-,-,-,-,-,-,-,-,"김대웅, 이안나",김대웅,김대웅,20287367,남자,감독,레슬러,"한도진,유해진,이성경,나문희,성동일,진경,황우슬혜,김태훈,박규영,이한서,최유화,이예원,이배,이미경,배수현,이윤호,이주한,김진철,김태윤,김태훈,김희원,박성범,정혜경,김민재,김명희,한경미,김민혜,양현민,현봉식",한도진,20329432,남자,배우,레슬러|물괴|청년경찰|좋은 친구들|거미줄 - 죽음의 도박
해원,20176025,2018-05-10,1,다큐멘터리,15세이상관람가,독립/예술영화,레드무비,레드무비,280,22,7110460.0,1238,1468800,198,해원|레드 툼|회색도시,구자환,10002241.0,남자,-,-,-,-,-,-,-,-,-,구자환,구자환,구자환,10002241,남자,감독,해원|레드 툼|회색도시,"김현선,김동주,김종현,김창후,박정희,박종훈,최병환",김현선,10006262,여자,배우,해원|저 달이 차기 전에
임을 위한 행진곡,20182323,2018-05-16,1,드라마,15세이상관람가,독립/예술영화,"주식회사 무당벌레필름,(주)알앤오엔터테인먼트",(주)알앤오엔터테인먼트,1565,160,101338200.0,13424,20317200,2329,임을 위한 행진곡,박기복,20302749.0,남자,-,-,-,-,-,-,-,-,-,박기복,박기복,박기복,20302749,남자,감독,임을 위한 행진곡,"김꽃비,김부선,전수현,김채희,이한위,김효명,한다영,이재구,설지윤,구재갑,김경모,김경모,김기환,김대현,김동현,김민기,김민영,김민중,김영훈,김은주,김재석,김종협,김태진,김태진,김한울,박도형,박영진,박정우,박정원,안진희,유우람,이승연,이주연,이하나,정성희,정재훈,조은아,지대한,홍지연,소윤호",김꽃비,10003756,여자,배우,"메기|임을 위한 행진곡|미완의 여행길로 떠나다|호텔룸|거짓말|원 컷 - 어느 친절한 살인자의 기록|죽도록 아름다운 세상|명왕성|1999, 면회|나나나 : 여배우 민낯 프로젝트|돼지의 왕|창피해|집|향기의 상실|죽이러 갑니다|똥파리|삼거리극장|짝패|가족의 탄생|6월의 일기|화기애애|여자, 정혜|B형 남자친구|질투는 나의 힘|4학년 보경이|사라진 시간 |우주에서 물구나무서기|미로아|이슬 후(後)|귀 鬼|이제 난 용감해질거야"
버닝,20173202,2018-05-17,0,미스터리,청소년관람불가,일반영화,"파인하우스필름(주),나우필름(주)",CGV아트하우스,26514,739,4714345098.0,528153,1765445398,194098,"생일|버닝|싱글라이더|우리들|도희야|화이: 괴물을 삼킨 아이|토니 레인즈의 한국영화 25년|시|여행자|나의 사랑, 나의 영화|밀양|두 번째 사랑|한국 영화의 르네상스|오아시스|박하사탕|초록물고기|아름다운 청년 전태일|그 섬에 가고 싶다",이창동,10057659.0,남자,-,-,-,-,-,-,-,-,-,"오정미, 이창동",오정미,오정미,20315560,남자,시나리오(각본),버닝,"유아인,스티븐 연,전종서,이고운,이수정,배민정,이승호,이영석,김정은,김정현,이현수,김지은,김지현,김현우,유혜승,문성근,임용순,조용준,최선호,최선호,김건희,김명호,함선일,김민성,김수경,김민희,김민지,이봉련,장원형",유아인,10053802,남자,배우,소리도 없이|국가부도의 날|버닝|좋아해줘|사도|베테랑|우아한 거짓말|우리별 일호와 얼룩소|깡철이|완득이|하늘과 바다|서양 골동 양과자점 앤티크|좋지 아니한가|우리에게 내일은 없다|씨네 21 영화토크쇼
5.18 힌츠페터 스토리,20183381,2018-05-17,1,다큐멘터리,12세이상관람가,독립/예술영화,KBS,(주)드림팩트엔터테인먼트,1309,119,72502600.0,10610,36067700,4336,5.18 힌츠페터 스토리,장영주,20303829.0,남자,-,-,-,-,-,-,-,-,-,김소연,김소연,김소연,20319831,여자,시나리오(각본),5.18 힌츠페터 스토리,"위르겐 힌츠페터,조성하,김승필,장영주",위르겐 힌츠페터,10083208,남자,배우,5.18 힌츠페터 스토리
독전,20179383,2018-05-22,1,"범죄,액션",15세이상관람가,일반영화,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),140008,1357,43484892913.0,5063620,10658158413,1201461,독전: 익스텐디드 컷|독전|경성학교: 사라진 소녀들|26년|페스티발|천하장사 마돈나|아라한 장풍대작전|안녕! 유에프오|품행제로|신라의 달밤|커밍 아웃,이해영,10058049.0,남자,-,-,-,-,-,-,-,-,-,"정서경, 이해영",정서경,정서경,10061808,여자,시나리오(각본),"독전|미옥|아가씨|아가씨(확장판)|비밀은 없다|박쥐|싸이보그지만 괜찮아|모두들, 괜찮아요?|친절한 금자씨","조진웅,류준열,김주혁,김성령,박해준,차승원,이주영,김태준,서현우,이경제,이민호,김재훈,백승환,이정철,이정호,김준형,이주영,이지민,안성봉,김태준,김태현,오현석,박성연,박예진,박은영,박정진,박종범,정여진,박진수,최성철,김대근,황기석,김양수,김선우,강승현,강지현,김누리,김동영,진서연,정가람,김동영,금새록",조진웅,10067353,남자,배우,블랙머니|퍼펙트맨|광대들: 풍문조작단|클로즈 투 유(가제)|완벽한 타인|공작|독전: 익스텐디드 컷|독전|대장 김창수|해빙|마차 타고 고래고래|보안관|사냥|아가씨|아가씨(확장판)|암살|장수상회|파울볼|허삼관|우리는 형제입니다|명량|군도: 민란의 시대|끝까지 간다|화이: 괴물을 삼킨 아이|파파로티|분노의 윤리학|용의자X|범죄와의 전쟁: 나쁜놈들 전성시대|퍼펙트 게임|고지전|글러브|맨발의 꿈|베스트셀러|부산|국가대표|쌍화점|달콤한 거짓말|스페어|GP 506|마이 뉴 파트너|마지막 선물|폭력써클|비열한 거리|강적|야수|우리 형|말죽거리 잔혹사|경관의 피(가제)
서산개척단,20183384,2018-05-24,0,다큐멘터리,12세이상관람가,독립/예술영화,(주)훈프로,(주)인디플러그,776,52,43554100.0,5260,24398400,2724,서산개척단|잘 되길 바라,이조훈,20303810.0,남자,정승현,20189538.0,남자,-,-,-,-,-,-,이훈규,이훈규,이훈규,20304731,남자,프로듀서,서산개척단,"정영철,하용복,윤기숙,정화자,이상범,손연복,김연,김연,김성준,김재권,이규동,이승현,이정수",정영철,20304709,남자,배우,서산개척단
오목소녀,20183423,2018-05-24,1,드라마,전체관람가,독립/예술영화,㈜인디스토리,㈜인디스토리,431,17,8559800.0,1263,5019300,651,"오목소녀|걷기왕|오늘영화|반드시 크게 들을 것 2 : Wild Days|춤추는 동물원|반드시 크게 들을 것|청소왕 순아의 놀라운 하루|백역사|화목한 수레|지각생들|잘 자, 좋은 꿈꿔!|10월 수요단편극장 <걷기왕> 개봉 기념 특별전|한국 환경영화의 흐름 단편 3",백승화,10030331.0,남자,-,-,-,-,-,-,-,-,-,백승화,백승화,백승화,10030331,남자,감독,"오목소녀|걷기왕|오늘영화|반드시 크게 들을 것 2 : Wild Days|춤추는 동물원|반드시 크게 들을 것|청소왕 순아의 놀라운 하루|백역사|화목한 수레|지각생들|잘 자, 좋은 꿈꿔!|10월 수요단편극장 <걷기왕> 개봉 기념 특별전|한국 환경영화의 흐름 단편 3","박세완,안우연,이지원,장햇살,조경현,김정영,공격,김영민,김진아,김화범,김효진,박주희,여영은,이진주,정요한,진종민,황수진,황태성",박세완,20304929,여자,배우,언니|오목소녀|팡뜨
다이빙벨 그후,20183502,2018-05-24,0,다큐멘터리,12세이상관람가,독립/예술영화,(주)씨네포트,(주)씨네포트,415,48,23524000.0,2981,11889000,1347,대통령의 7시간|다이빙벨 그후|김광석|다이빙벨: 진실은 침몰하지 않습니다|다이빙벨,이상호,20191566.0,남자,-,-,-,-,-,-,-,-,-,이상호,이상호,이상호,20191566,남자,감독,대통령의 7시간|다이빙벨 그후|김광석|다이빙벨: 진실은 침몰하지 않습니다|다이빙벨,"이용관,김지석,오석근,이종인,송옥숙,고영재,김일권,이상호,이주영,최순실",이용관,10056797,남자,배우,"다이빙벨 그후|굿바이, 평양|미안하다 독도야|남자의 향기"
홈,20172602,2018-05-30,0,"가족,드라마",전체관람가,독립/예술영화,"(주)아토,큐브이미지웍스",(주)리틀빅픽쳐스,1498,123,59594222.0,8243,19591200,2394,홈|그물|메이드 인 차이나|일대일,김종우,20197151.0,남자,-,-,-,-,-,-,-,-,-,김종우,김종우,김종우,20197151,남자,감독,홈|그물|메이드 인 차이나|일대일,"이효제,허준석,임태풍,김하나,김건우,김경호,김기환,김대현,김동일,김범수,김상우,김성윤,김수민,김유진,김은우,김주현,김태훈,김현주,김현진,박진,박주영,박준기,박지민,송현종,신지현,이경민,이민아,이민영,이상민,이성진,이승우,이윤수,이윤호,이인석,이재상,이정현,이주연,이준혁,장정욱,조재은,조진우,최용준,양현민,허준석",이효제,20217767,남자,배우,니나 내나|홈|가려진 시간|사도|극비수사|우리는 형제입니다|아빠의 검
데자뷰,20173865,2018-05-30,1,"미스터리,스릴러",15세이상관람가,일반영화,"(주)스톰픽쳐스코리아,(주)원픽쳐스",씨네그루(주)키다리이엔티,8117,536,360833100.0,48279,78964200,10074,데자뷰,고경민,20283049.0,남자,-,-,-,-,-,-,-,-,-,고경민,고경민,고경민,20283049,남자,감독,데자뷰,"남규리,이천희,이규한,정경호,동현배,김재범,조한선,이영진,서정욱,서지원,이주원,이태영,김지호,김지호,김찬수,박종수,박종찬,정용철,정우일,김민혁,최준호,홍지원,김송이,김수영,이종혁",남규리,10007498,여자,배우,데자뷰|질투의 역사|고死 : 피의 중간고사|신촌좀비만화
남자와 여자,20184981,2018-05-31,0,드라마,12세이상관람가,독립/예술영화,더블엔비컴퍼니(주),(주)영화사 그램,41,1,18760700.0,2297,18489700,2174,남자와 여자,주목,20305310.0,남자,-,-,-,-,-,-,-,-,-,이효철,이효철,이효철,10058270,남자,각색,남자와 여자|두 사람이다|한반도,"이상현,고애리,정선철,조혜련,이강진,이상현,이준석,조주현",이상현,20195572,남자,배우,남자와 여자|공작|대립군|서울야행|위험한 상견례 2|성실한 나라의 앨리스|화끈한 써비스: 어느 잔인한 미용사의|역린
탐정: 리턴즈,20178161,2018-06-13,1,"코미디,범죄",15세이상관람가,일반영화,(주)크리픽쳐스,씨제이이앤엠(주),107909,1041,26865721678.0,3148038,5989673378,680077,탐정: 리턴즈|미씽: 사라진 여자|타이밍|어깨 너머의 연인|해피 에로 크리스마스|...ing|고양이를 부탁해,이언희,10056602.0,여자,-,-,-,-,-,-,-,-,-,정한진,정한진,정한진,20279790,남자,시나리오(각본),탐정: 리턴즈,"권상우,성동일,이광수,서영희,이일화,남명렬,손담비,최성원,김동욱,박성일,오희준,이광호,이동민,이동민,이상철,서영희,심상민,엄진용,임승묵,박성연,임효우,박영식,정성호,정연주,정인영,박태강,정택호,조혜선,최광락,권혁석,김동욱,김미진,최재옥,홍광석,홍광석,김선간,김수영,김승필,김승필,김용호,김원진,김성규,김연교",권상우,10002387,남자,배우,신의 한 수: 귀수편|두번할까요|히트맨|탐정: 리턴즈|탐정 : 더 비기닝|그림자 애인|차이니즈 조디악|통증|포화속으로|슬픔보다 더 슬픈 이야기|숙명|청춘만화|야수|신부수업|말죽거리 잔혹사|동갑내기 과외하기|데우스 마키나 기계의 신|일단뛰어|화산고
여중생A,20184101,2018-06-20,1,드라마,12세이상관람가,일반영화,"(주)영화사울림,네이버웹툰 주식회사",롯데컬처웍스(주)롯데엔터테인먼트,10243,479,811686000.0,97849,304755500,33816,여중생A|미성년|어둠에서 빛이 흘러나오는 소리|축지법과 비행술|여보세요|8월 수요단편극장 “신스틸러의 단편”|2016 대단한단편영화제-단편 경쟁 섹션 2|SESIFF2016 경쟁2 먹고사는 백만가지 방법|2015 우수 단편영화 상영 01,이경섭,20113175.0,남자,-,-,-,-,-,-,-,-,-,이경섭,이경섭,이경섭,20113175,남자,감독,여중생A|미성년|어둠에서 빛이 흘러나오는 소리|축지법과 비행술|여보세요|8월 수요단편극장 “신스틸러의 단편”|2016 대단한단편영화제-단편 경쟁 섹션 2|SESIFF2016 경쟁2 먹고사는 백만가지 방법|2015 우수 단편영화 상영 01,"김환희,김준면,이종혁,정다빈,유재상,정다은,김현빈,유수아,이준,이승연,이영우,이유리,김정화,김태훈,옥윤중,옥윤중,신범식,정다빈,정다은,박정숙,박철희,박지영,박지윤,조영웅,조영웅,최원영,홍근택,김유진",김환희,20235266,여자,배우,여중생A|곡성|전국노래자랑|파란만장
튼튼이의 모험,20174647,2018-06-21,0,코미디,15세이상관람가,독립/예술영화,-,"CGV아트하우스,㈜인디스토리",1082,88,34307600.0,4476,18808100,2330,우리마을|근본주의자|고봉수 감독 단편선|갈까부다|다영씨|튼튼이의 모험|델타 보이즈|쥐포|인디포럼2015 가보지 못한 곳의 지도,고봉수,20210668.0,남자,-,-,-,-,-,-,-,-,-,고봉수,고봉수,고봉수,20210668,남자,감독,우리마을|근본주의자|고봉수 감독 단편선|갈까부다|다영씨|튼튼이의 모험|델타 보이즈|쥐포|인디포럼2015 가보지 못한 곳의 지도,"김충길,백승환,신민재,고성완,권하늘,김윤정,김정기,박원진,윤지혜,이건창,이민주,이슬기,이호정,임혜인,조준희",김충길,20277850,남자,배우,튼튼이의 모험|델타 보이즈|너는 아무렇지 않게 나왔겠지만
허스토리,20172469,2018-06-27,2,드라마,12세이상관람가,일반영화,(주)수필름,(주)넥스트엔터테인먼트월드(NEW),20407,696,2521025949.0,336822,774252049,101169,"허스토리|당신, 거기 있어줄래요|간신|내 아내의 모든 것|세상에서 가장 아름다운 이별|김종욱 찾기|끝과 시작|키친|서양 골동 양과자점 앤티크|열세살 수아|내 생애 가장 아름다운 일주일|이공|여고괴담 두번째 이야기|비밀과 거짓말 |창백한푸른점 |열일곱|허스토리|무서운 이야기 3 : 화성에서 온 소녀|제15회 미쟝센 단편영화제 김태용 단편 특별전 1|무서운 이야기 2|무서운 이야기|무서운 이야기2'444'",민규동,10027774.0,남자,-,-,-,-,-,-,-,-,-,"서혜림, 정겨운, 민규동",서혜림,서혜림,20276589,여자,시나리오(각본),허스토리,"김희애,김해숙,예수정,문숙,이용녀,김준한,이유영,안세하,손강국,윤효진,이선민,이승연,손승훈,이현동,이형석,임서영,안진영,김혜림,오진호,민주홍,박수진,박용수,정미경,박정헌,박정헌,정은택,박진수,김명희,하성영,김선영,김성환,김시영,김시영,박명신,한지민,이설",김희애,10006537,여자,배우,윤희에게|허스토리|사라진 밤|쎄시봉|우아한 거짓말|백한번째 프로포즈|英雄 돌아오다|내사랑 짱구|불의 회상
